# NJOY2016 2016.79 ac5adf5 -- the MTRP block (photon-production MT list)
# for U-235 ENDF/B-VIII.0 at 0 K, read from reference-data/ace/reference-njoy/
# endf-b-viii.0/0K/U235.ace.gz on 2026-09-20. One MT*1000+k per line, in
# NJOY's own order -- which is MF=12 entries, then MF=13, then MF=6, and is
# load-bearing because LSIGP/LDLWP are positional.
mtrp
18001
51001
52001
52002
53001
54001
54002
54003
54004
55001
55002
55003
55004
55005
55006
56001
56002
56003
57001
57002
57003
57004
57005
57006
57007
57008
57009
57010
58001
58002
58003
58004
58005
58006
58007
58008
59001
59002
59003
59004
59005
60001
60002
60003
60004
60005
60006
60007
60008
60009
60010
60011
60012
60013
60014
60015
60016
60017
61001
61002
61003
61004
61005
61006
61007
61008
61009
61010
62001
62002
62003
62004
62005
62006
62007
62008
62009
62010
62011
62012
62013
62014
62015
62016
62017
62018
62019
62020
62021
62022
62023
62024
62025
62026
63001
63002
63003
63004
63005
63006
63007
64001
65001
65002
65003
65004
65005
65006
65007
65008
65009
65010
65011
65012
65013
65014
65015
65016
65017
65018
65019
65020
65021
65022
65023
65024
65025
65026
65027
65028
65029
65030
66001
66002
66003
66004
66005
66006
66007
66008
66009
66010
66011
66012
67001
67002
67003
67004
67005
67006
67007
67008
67009
67010
67011
67012
67013
67014
67015
67016
67017
67018
67019
67020
67021
67022
68001
68002
68003
68004
68005
68006
68007
68008
68009
69001
69002
69003
69004
69005
69006
69007
69008
69009
69010
69011
70001
70002
70003
70004
70005
70006
70007
70008
70009
70010
70011
70012
70013
70014
70015
70016
70017
70018
70019
70020
70021
70022
70023
70024
70025
70026
70027
70028
70029
70030
70031
70032
70033
71001
72001
72002
72003
72004
72005
72006
72007
72008
72009
72010
72011
72012
72013
72014
73001
73002
73003
73004
73005
73006
73007
73008
73009
73010
73011
73012
73013
73014
73015
73016
73017
73018
73019
73020
73021
73022
73023
73024
73025
73026
73027
73028
73029
73030
73031
73032
73033
73034
73035
73036
73037
73038
73039
73040
74001
74002
74003
74004
74005
74006
74007
74008
74009
74010
74011
74012
74013
74014
74015
74016
74017
74018
74019
74020
74021
74022
74023
75001
76001
76002
76003
76004
76005
76006
76007
76008
76009
76010
76011
76012
76013
76014
76015
76016
76017
76018
76019
76020
76021
77001
78001
79001
79002
79003
79004
79005
79006
79007
79008
79009
79010
79011
79012
79013
79014
79015
79016
79017
79018
79019
79020
79021
79022
79023
79024
79025
79026
79027
79028
79029
79030
79031
79032
79033
79034
79035
79036
80001
81001
81002
81003
81004
81005
82001
83001
83002
83003
83004
83005
83006
83007
83008
83009
83010
83011
83012
83013
83014
83015
83016
83017
83018
83019
83020
83021
83022
83023
83024
83025
83026
83027
83028
83029
83030
83031
83032
83033
83034
83035
83036
83037
83038
83039
83040
83041
83042
83043
84001
85001
86001
87001
87002
87003
87004
87005
87006
87007
87008
87009
87010
87011
87012
87013
87014
87015
87016
87017
87018
87019
87020
87021
87022
87023
87024
87025
87026
87027
87028
87029
87030
87031
87032
87033
87034
88001
89001
801001
802001
802002
803001
803002
803003
804001
804002
804003
804004
805001
805002
805003
806001
806002
807001
807002
807003
807004
807005
808001
808002
808003
808004
809001
809002
809003
809004
809005
810001
810002
810003
810004
810005
811001
811002
811003
811004
812001
812002
812003
812004
812005
813001
813002
813003
813004
813005
814001
814002
814003
814004
814005
814006
815001
815002
815003
815004
815005
816001
816002
816003
816004
816005
816006
817001
817002
817003
817004
817005
817006
818001
818002
818003
818004
818005
818006
819001
819002
819003
820001
820002
821001
822001
822002
823001
823002
823003
823004
824001
824002
824003
824004
824005
824006
824007
824008
825001
825002
825003
825004
825005
826001
826002
826003
826004
826005
826006
827001
827002
827003
828001
829001
829002
829003
829004
829005
830001
830002
830003
830004
831001
831002
831003
832001
832002
832003
832004
833001
834001
835001
5001
16001
17001
91001
102001
649001
