# NJOY2016 2016.79 ac5adf5 -- band integrals of the ESZ columns over
# equal-lethargy bands (20/decade) lying wholly BELOW thnmax
# = 2.250000e-3 MeV, i.e. the bands that actually test Doppler broadening.
# MAT 9228, 293.6 K. Integrals in barn*MeV; energies in MeV.
e_lo_mev,e_hi_mev,total,absorption,elastic
9.91606581834827340e-10,1.11236646052006965e-9,4.32015452525623377e-7,6.71900350540740434e-8,1.80005090613148713e-9
1.11236646052006965e-9,1.24783272434556516e-9,4.57479059653934071e-7,7.11346098574566596e-8,2.00841501082562208e-9
1.24783272434556516e-9,1.39979634698774150e-9,4.84434359092116303e-7,7.53073278334099400e-8,2.24213963474021938e-9
1.39979634698774150e-9,1.57026641056224927e-9,5.12990516216894018e-7,7.97242427680288318e-8,2.50431748361435766e-9
1.57026641056224927e-9,1.76149666731602517e-9,5.43159931018903409e-7,8.43860400165398253e-8,2.79837191440366407e-9
1.76149666731602517e-9,1.97601533605654039e-9,5.75079889744866169e-7,8.93125130055066082e-8,3.12820219555577435e-9
1.97601533605654039e-9,2.21665852725120473e-9,6.08875861177854159e-7,9.45211767684944043e-8,3.49816535103042871e-9
2.21665852725120473e-9,2.48660773870374534e-9,6.44584506142675559e-7,1.00015073802664487e-7,3.91310985412638500e-9
2.48660773870374534e-9,2.78943191753081441e-9,6.82336729847873469e-7,1.05811173677682883e-7,4.37851239361654955e-9
2.78943191753081441e-9,3.12913464453215020e-9,7.22247972759649535e-7,1.11923018358320786e-7,4.90049771389837951e-9
3.12913464453215020e-9,3.51020706476990780e-9,7.64436397784352338e-7,1.18363222348260915e-7,5.48593541402958079e-9
3.51020706476990780e-9,3.93768726414226622e-9,8.09022464125473497e-7,1.25143180089509057e-7,6.14252424108584068e-9
3.93768726414226622e-9,4.41722687695762952e-9,8.56185787395506533e-7,1.32281343248211112e-7,6.87889956009891591e-9
4.41722687695762952e-9,4.95516580511557883e-9,9.05943849114077984e-7,1.39768357191830340e-7,7.70470507332182594e-9
4.95516580511557883e-9,5.55861603674251200e-9,9.58439432185257649e-7,1.47611206700314867e-7,8.63077459126017238e-9
5.55861603674251200e-9,6.23555567243229798e-9,1.01388784455476539e-6,1.55824379368309121e-7,9.66926572239281721e-9
6.23555567243229798e-9,6.99493440219492511e-9,1.07242077428770159e-6,1.64405061429481020e-7,1.08337715182299055e-8
6.99493440219492511e-9,7.84679182760377692e-9,1.13424800137813270e-6,1.73357820109282859e-7,1.21395362458474641e-8
7.84679182760377692e-9,8.80239019345610500e-9,1.19934245511190941e-6,1.82645584885060524e-7,1.36035886537558245e-8
8.80239019345610500e-9,9.87436328376681998e-9,1.26796754066415934e-6,1.92272024199155443e-7,1.52450525256709154e-8
9.87436328376681998e-9,1.10768834506209717e-8,1.34027915149055741e-6,2.02220801182853119e-7,1.70853205917052413e-8
1.10768834506209717e-8,1.24258489841417612e-8,1.41646944038547899e-6,2.12480436241658077e-7,1.91483477261991233e-8
1.24258489841417612e-8,1.39390943007566984e-8,1.49669798664923689e-6,2.23036711891185967e-7,2.14609538754704218e-8
1.39390943007566984e-8,1.56366257286208010e-8,1.58122299876004308e-6,2.33898551571946591e-7,2.40531360217909622e-8
1.56366257286208010e-8,1.75408860074712886e-8,1.66997197695079203e-6,2.45032762342633646e-7,2.69584532578182782e-8
1.75408860074712886e-8,1.96770509998157549e-8,1.76309062301302110e-6,2.56458771227001068e-7,3.02144537868366092e-8
1.96770509998157549e-8,2.20733625362158432e-8,1.86072844044634302e-6,2.68218185143256812e-7,3.38631182933560389e-8
2.20733625362158432e-8,2.47615017951511007e-8,1.96293985309520049e-6,2.80360027519753177e-7,3.79513437099332204e-8
2.47615017951511007e-8,2.77770081538461943e-8,2.06975366344808701e-6,2.92951182161100517e-7,4.25315342240213518e-8
2.77770081538461943e-8,3.11597490476093977e-8,2.18112268424722762e-6,3.06063800115015688e-7,4.76621515874275518e-8
3.11597490476093977e-8,3.49544470496026101e-8,2.29683898322537920e-6,3.19754912410456250e-7,5.34084027846296080e-8
3.49544470496026101e-8,3.92112711394640971e-8,2.41706085979509978e-6,3.34154134788191341e-7,5.98430598074391904e-8
3.92112711394640971e-8,4.39864999778347176e-8,2.54158706869409060e-6,3.49331728493537180e-7,6.70471138892533353e-8
4.39864999778347176e-8,4.93432659558125867e-8,2.67011716190708457e-6,3.65344683493546890e-7,7.51106980767225434e-8
4.93432659558125867e-8,5.53523898562730045e-8,2.80281541959127199e-6,3.82334634019003434e-7,8.41341838221198219e-8
5.53523898562730045e-8,6.20933171619522998e-8,2.93959121561243001e-6,4.00412246053957340e-7,9.42289887535737661e-8
6.20933171619522998e-8,6.96551683890458173e-8,3.08063094697005687e-6,4.19756997991015903e-7,1.05518889056586805e-7
6.96551683890458173e-8,7.81379173325802982e-8,3.22637981609706001e-6,4.40629325392322297e-7,1.18141084785007093e-7
7.81379173325802982e-8,8.76537128009202216e-8,3.37793039106730069e-6,4.63455196184885679e-7,1.32247470194621851e-7
8.76537128009202216e-8,9.83283613138052108e-8,3.53624945012873984e-6,4.88748811362546626e-7,1.48005882833510891e-7
9.83283613138052108e-8,1.10302990366390145e-7,3.70397902356338645e-6,5.17446620603158225e-7,1.65601449806377817e-7
1.10302990366390145e-7,1.23735914248982393e-7,3.88573351564911062e-6,5.51051159171641350e-7,1.85237835221538467e-7
1.23735914248982393e-7,1.38804727090125517e-7,4.08957565786287573e-6,5.92025541617123442e-7,2.07138689273868195e-7
1.38804727090125517e-7,1.55708650794752018e-7,4.32955198717017275e-6,6.44466405292454042e-7,2.31549829442395164e-7
1.55708650794752018e-7,1.74671168919050934e-7,4.63142040345458462e-6,7.15449928083501058e-7,2.58744757620319176e-7
1.74671168919050934e-7,1.95942981304002990e-7,5.04242926591389091e-6,8.17135867145218147e-7,2.89042779946566064e-7
1.95942981304002990e-7,2.19805318530236792e-7,5.64579155797786564e-6,9.68834562677732190e-7,3.22872854186681941e-7
2.19805318530236792e-7,2.46573660013980443e-7,6.55052662629697825e-6,1.18928476895463345e-6,3.60972057078333587e-7
2.46573660013980443e-7,2.76601904900342342e-7,7.71206138318167123e-6,1.44286536721497424e-6,4.04700722555629357e-7
2.76601904900342342e-7,3.10287050896515342e-7,8.51254581054996936e-6,1.54864881938351602e-6,4.55439588702017249e-7
3.10287050896515342e-7,3.48074442902860716e-7,8.26739780380105812e-6,1.37108115190749523e-6,5.12249841333248917e-7
3.48074442902860716e-7,3.90463660833025146e-7,7.45966593902947942e-6,1.09080439001505097e-6,5.73516786876629130e-7
3.90463660833025146e-7,4.38015124464844741e-7,6.79026543529168352e-6,8.82979721795324421e-7,6.39991101844558789e-7
4.38015124464844741e-7,4.91357502643498836e-7,6.40512426135509030e-6,7.61254269722918313e-7,7.13251551056395056e-7
4.91357502643498836e-7,5.51196024792594764e-7,6.24058557833803984e-6,6.96272640449271855e-7,7.94532517394270524e-7
5.51196024792594764e-7,6.18321804618073562e-7,6.22979642194524947e-6,6.65625368462226982e-7,8.84818015402240069e-7
6.18321804618073562e-7,6.93622299271865827e-7,6.35634170044982076e-6,6.61288754147948169e-7,9.85031045392465257e-7
6.93622299271865827e-7,7.78093042253886133e-7,6.64954402082157839e-6,6.86116293915543201e-7,1.09605078006255354e-6
7.78093042253886133e-7,8.72850805170854903e-7,7.23567858419667200e-6,7.64229430981901720e-7,1.21862072690065996e-6
8.72850805170854903e-7,9.79148362361036958e-7,8.58364936865590738e-6,1.00188763305472026e-6,1.35316624680431239e-6
9.79148362361036958e-7,1.09839105358519218e-6,1.30443885437862486e-5,2.07477136554523746e-6,1.50363799961423884e-6
1.09839105358519218e-6,1.23215536375593435e-6,1.72881269151285915e-5,4.20551373350148031e-6,1.72251859919249824e-6
1.23215536375593435e-6,1.38220976534452920e-6,7.55181592347840983e-6,1.82528369568071925e-6,1.92134851479899786e-6
1.38220976534452920e-6,1.55053809901866548e-6,5.81276545467165467e-6,8.95656694280179639e-7,2.11631433969059527e-6
1.55053809901866548e-6,1.73936580162212553e-6,5.81204731935362167e-6,7.47187160394713148e-7,2.33898821565696097e-6
1.73936580162212553e-6,1.95118932825149074e-6,6.51944954336102030e-6,1.05943926622038707e-6,2.58067120148093361e-6
1.95118932825149074e-6,2.18880915741357420e-6,1.30029485977624013e-5,5.85947699678164916e-6,2.88983480403176532e-6
2.18880915741357420e-6,2.45536681561842747e-6,6.95284812126947010e-6,8.36785273674762985e-7,3.20332045967594848e-6
2.45536681561842747e-6,2.75438641090307761e-6,7.05316388398762690e-6,9.32593348751812240e-7,3.52486589260928971e-6
2.75438641090307761e-6,3.08982122439279497e-6,1.29695661710512655e-5,1.80008283309144781e-6,3.86085419694352951e-6
3.08982122439279497e-6,3.46610597587794194e-6,1.98087556834571389e-5,3.93105202712865507e-6,4.33349389900901761e-6
3.46610597587794194e-6,3.88821545439987308e-6,3.07739942558231378e-5,1.07191623073147138e-5,4.91589284706782512e-6
3.88821545439987308e-6,4.36173028898939956e-6,7.89885512490022253e-6,1.22296942244007027e-6,5.36365926149068483e-6
4.36173028898939956e-6,4.89291072910051872e-6,2.79691000360324796e-5,1.84874744650048938e-5,5.74872475814931405e-6
4.89291072910051872e-6,5.48877941017622725e-6,1.92577844763111699e-5,7.15982024901278227e-6,6.56258496458156832e-6
5.48877941017622725e-6,6.15721419857432576e-6,2.49088489544791265e-5,4.78555429130688583e-6,6.84992223527953075e-6
6.15721419857432576e-6,6.90705234333841500e-6,1.01138886628760109e-4,6.37402367581233701e-5,8.44736681874490822e-6
6.90705234333841500e-6,7.74820731178444456e-6,4.73576882664153174e-5,2.08521679350796265e-5,9.01444165349804335e-6
7.74820731178444456e-6,8.69179985356433966e-6,6.43079207732910748e-5,1.90685378637960173e-5,8.20441620002243712e-6
8.69179985356433966e-6,9.75030502597925179e-6,2.70546377456791986e-4,7.00417181645686691e-5,1.46031824778717571e-5
9.75030502597925179e-6,1.09377171243365120e-5,4.40318051096180992e-5,8.13553721931938128e-6,1.28025291159628957e-5
1.09377171243365120e-5,1.22697346978628509e-5,1.45901993195953172e-4,9.45821931102419866e-5,1.32959786980935716e-5
1.22697346978628509e-5,1.37639680972341390e-5,2.34618640971133533e-4,1.04556261475191657e-4,2.12759738590662941e-5
1.37639680972341390e-5,1.54401722976681419e-5,1.13862198871045583e-4,2.36609269258396088e-5,1.83389512203707571e-5
1.54401722976681419e-5,1.73205080756896544e-5,1.13393886299391561e-4,4.24691295055224113e-5,1.98514530070381418e-5
1.73205080756896544e-5,1.94298349925368475e-5,3.71681084228568952e-4,1.24088811516210874e-4,2.50773537514536474e-5
1.94298349925368475e-5,2.17960400576862222e-5,2.46596069349979991e-4,1.07691195022079604e-4,3.23737606688121216e-5
2.17960400576862222e-5,2.44504064176941575e-5,2.38390343813805333e-4,9.86523506702793304e-5,2.94479437798812398e-5
2.44504064176941575e-5,2.74280269447203051e-5,1.74520838664646657e-4,1.81870733683861656e-5,3.27947372696471865e-5
2.74280269447203051e-5,3.07682681927071315e-5,1.34104247427774980e-4,3.64037117832124521e-5,3.37227841256567326e-5
3.07682681927071315e-5,3.45152908550933033e-5,4.18903432310966306e-4,1.97035727285755518e-4,3.92613106800399514e-5
