# NJOY2016 0 K U-235 ESZ at grid energies this port also chose.
# Oracle for tests/acer_ce_esz_vs_njoy2016.rs. Columns are MeV and barns.
# 17 significant digits: f64 needs that to round-trip exactly, and the test
# matches grid energies by EXACT equality.
energy_mev,total_b,absorption_b,elastic_b
1.50420499999999994e-4,6.64772166999999996e1,3.41373535999999973e1,1.20015400000000003e1
1.51648799999999997e-4,1.59201477000000011e2,1.23168803999999994e2,1.22872800000000009e1
1.54206900000000002e-4,1.54638785999999993e1,2.61035159999999999e0,1.04451699999999992e1
1.54343400000000010e-4,2.08814725999999986e1,7.92579559999999983e0,9.95848499999999959e0
1.56168600000000001e-4,2.54944796999999994e2,1.43250003999999990e2,1.78351100000000002e1
1.56796099999999988e-4,4.50241986999999995e2,2.14748203999999987e2,3.11610799999999983e1
1.57452700000000004e-4,1.37745777000000004e2,9.16605035999999984e1,1.40191499999999998e1
1.60936599999999993e-4,9.10313105999999948e2,5.96606804000000011e2,1.21695499999999996e2
1.62661700000000002e-4,3.33264264999999966e1,3.32808350999999991e0,1.07847200000000001e1
1.65631200000000001e-4,3.56937696000000017e2,1.96770702999999997e2,1.97930899999999994e1
1.66259000000000009e-4,7.83715263999999934e1,7.97628348000000020e0,1.17140199999999997e1
1.68524699999999996e-4,7.40002063999999962e1,3.75189234999999996e1,1.16874599999999997e1
1.68728600000000003e-4,2.70250513999999988e1,2.64867844999999980e0,1.13940800000000007e1
1.69383100000000008e-4,8.89216763999999955e1,1.46108334000000006e1,1.18970199999999995e1
1.70394000000000009e-4,9.30240363000000059e1,3.95693333999999979e1,1.02058999999999997e1
1.75217800000000001e-4,3.89573863000000031e1,1.07622934000000008e1,1.05692699999999995e1
1.77526199999999994e-4,6.48745566000000053e2,1.53867102999999986e2,3.69982600000000019e1
1.78588000000000005e-4,4.90038725999999997e2,3.23246303000000012e2,3.79009199999999993e1
1.79434899999999999e-4,4.48823236000000009e2,3.62942903000000001e2,3.32068799999999982e1
1.81780899999999993e-4,3.93900921999999980e1,3.63972931999999982e0,1.06311400000000003e1
1.83369300000000006e-4,2.28840141000000017e1,2.56295930000000016e0,1.19511099999999999e1
1.84063600000000004e-4,1.48965905999999990e2,1.19013302999999993e2,1.40552600000000005e1
1.84759299999999991e-4,1.23174104000000000e1,6.96583088999999989e-1,1.10897199999999998e1
1.85677599999999992e-4,7.92187361000000010e1,4.75921932999999981e1,1.02775800000000004e1
