1,1,1,1,1,1,1,1,1,19
2,5,5,5,9,16,13,13,13,19
3,6,6,6,10,17,14,14,14,19
3,6,6,6,10,17,14,14,14,19
3,6,6,8,10,17,14,14,17,19
3,6,6,8,11,18,15,15,18,19
3,6,6,8,11,18,15,15,18,19
2,5,5,7,12,18,15,15,18,19
2,5,5,7,10,17,14,14,17,19
2,5,5,7,10,17,14,14,17,19
2,5,5,7,10,17,14,14,17,19
2,5,7,7,9,16,13,16,16,19
2,5,7,7,9,16,16,16,16,19
4,4,4,4,4,4,4,4,4,19
