code,rpt_minus_explicit_pcm,sigma_pcm,sigma_distance_from_zero,measured,note
outram-mc-libs,+260,303,0.86,2026-09-14,reflective sphere r=3; MF=6 LAW=1 continuum emission for MT=91/MT=16
cross-code difference,+291,317,0.92,2026-09-14,consistent with zero - the two codes still agree on the RPT equivalence
outram-mc-libs (SUPERSEDED - Weisskopf stand-in),-184,315,0.58,2026-09-13,reflective sphere r=3; continuous thermal kernel
OpenMC (reference deck),-31,92,0.34,op-mzvp.1,reference from GH #156
cross-code difference (SUPERSEDED - Weisskopf stand-in),-153,328,0.47,2026-09-13,consistent with zero - the two codes agree on the RPT equivalence
outram-mc-libs (SUPERSEDED - discrete thermal kernel),+353,291,1.2,2026-09-12,after the F-19 fix but before the continuous kernel
outram-mc-libs (SUPERSEDED - F-19 bug present),+226,316,0.71,2026-09-11,kept because the superseded value was also consistent with zero
