# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.00034         	DILUPBiCGStab	2.97389330e-03	1.55154690e-08	1	3.43548150e-02	4.09839820e-07	1	false	DILUPBiCGStab	5.91247620e-03	6.36034640e-08	1	true	DILUPBiCGStab	4.08312760e-03	2.80518090e-08	1	true	DILUPBiCGStab	3.20172760e-04	2.39464230e-07	1	true	GAMG	4.67910580e-03	2.14789750e-06	2	true
0.00036         	DILUPBiCGStab	2.99717400e-03	1.54924750e-08	1	3.26534840e-02	3.70153370e-07	1	false	DILUPBiCGStab	6.00347920e-03	6.10119610e-08	1	true	DILUPBiCGStab	3.98074140e-03	2.58372010e-08	1	true	DILUPBiCGStab	3.16804680e-04	2.30449320e-07	1	true	GAMG	4.73370710e-03	1.79972950e-06	2	true
0.00038         	DILUPBiCGStab	3.02477470e-03	1.56364630e-08	1	3.11265050e-02	3.36325600e-07	1	false	DILUPBiCGStab	6.10173180e-03	5.88532960e-08	1	true	DILUPBiCGStab	3.88386810e-03	2.38884100e-08	1	true	DILUPBiCGStab	3.13176910e-04	2.22987820e-07	1	true	GAMG	4.79234080e-03	4.34359830e-05	1	true
0.0004          	DILUPBiCGStab	3.05301900e-03	1.60053730e-08	1	2.97597780e-02	3.06894830e-07	1	false	DILUPBiCGStab	6.20893950e-03	5.69513030e-08	1	true	DILUPBiCGStab	3.79195540e-03	2.21904540e-08	1	true	DILUPBiCGStab	3.09592640e-04	2.17403760e-07	1	true	GAMG	4.85778510e-03	3.89682860e-05	1	true
0.00042         	DILUPBiCGStab	3.07936250e-03	1.63874540e-08	1	2.85287270e-02	2.81110120e-07	1	false	DILUPBiCGStab	6.32445320e-03	5.52604020e-08	1	true	DILUPBiCGStab	3.70547360e-03	2.07138820e-08	1	true	DILUPBiCGStab	3.06203060e-04	2.14136170e-07	1	true	GAMG	4.93029850e-03	3.51727960e-05	1	true
0.00044         	DILUPBiCGStab	3.11051990e-03	1.67464590e-08	1	2.74206470e-02	2.58971860e-07	1	false	DILUPBiCGStab	6.44820320e-03	5.36808530e-08	1	true	DILUPBiCGStab	3.62107840e-03	1.93443630e-08	1	true	DILUPBiCGStab	3.01973660e-04	2.13523400e-07	1	true	GAMG	5.00618310e-03	3.18552230e-05	1	true
0.00046         	DILUPBiCGStab	3.14081230e-03	1.70413140e-08	1	2.64055120e-02	2.38527350e-07	1	false	DILUPBiCGStab	6.57590540e-03	5.20704070e-08	1	true	DILUPBiCGStab	3.54217190e-03	1.80762590e-08	1	true	DILUPBiCGStab	2.97704840e-04	2.13742730e-07	1	true	GAMG	5.08271480e-03	2.90166150e-05	1	true
0.00048         	DILUPBiCGStab	3.17096890e-03	1.72378740e-08	1	2.54773890e-02	2.19764210e-07	1	false	DILUPBiCGStab	6.70702920e-03	5.02413430e-08	1	true	DILUPBiCGStab	3.46685060e-03	1.68875180e-08	1	true	DILUPBiCGStab	2.93375830e-04	2.14221550e-07	1	true	GAMG	5.17020460e-03	2.63442100e-05	1	true
0.0005          	DILUPBiCGStab	3.20478720e-03	1.72976630e-08	1	2.46285890e-02	2.03144310e-07	1	false	DILUPBiCGStab	6.84073720e-03	4.85028730e-08	1	true	DILUPBiCGStab	3.39355770e-03	1.57514070e-08	1	true	DILUPBiCGStab	2.89164110e-04	2.14932740e-07	1	true	GAMG	5.25787450e-03	2.41613650e-05	1	true
0.00052         	DILUPBiCGStab	3.23804790e-03	1.71886800e-08	1	2.38411120e-02	1.87462370e-07	1	false	DILUPBiCGStab	6.98866130e-03	4.75008530e-08	1	true	DILUPBiCGStab	3.32364890e-03	1.47712910e-08	1	true	DILUPBiCGStab	2.85006400e-04	2.15438900e-07	1	true	GAMG	5.35160790e-03	2.21466640e-05	1	true
