phase,batch,step,extracted,n,phi_bulk,phi_whole_core,surface_height,core_ke_per_pebble_over_edrop,all_ke_per_pebble_over_edrop,elapsed_s
recirculation,0,0,0,27554,0.576970,0.572895,1.965068,0.000000e0,0.000000e0,0.1
recirculation,1,8000,50,27554,0.576746,0.572487,1.965538,2.087216e-4,3.638264e-4,344.3
recirculation,2,16000,100,27554,0.576444,0.572049,1.965799,1.557486e-4,1.964978e-4,704.7
recirculation,3,24000,150,27554,0.576554,0.572076,1.965707,2.412525e-4,2.483958e-4,1112.6
recirculation,4,32000,200,27554,0.576498,0.571648,1.967490,2.297903e-4,3.021899e-4,1485.4
recirculation,5,40000,250,27554,0.576459,0.571478,1.967765,2.803722e-4,2.916644e-4,1812.0
recirculation,6,48000,300,27554,0.576083,0.571018,1.968570,4.815192e-4,4.663722e-4,2140.1
recirculation,7,56000,350,27554,0.575944,0.570964,1.969146,3.237376e-4,5.289128e-4,2481.0
recirculation,8,64000,400,27554,0.576000,0.570899,1.969214,2.438175e-4,2.839433e-4,2812.4
recirculation,9,72000,450,27554,0.575698,0.570355,1.970857,3.930335e-4,4.106951e-4,3141.8
recirculation,10,80000,500,27554,0.575408,0.570203,1.971305,2.949789e-4,3.203792e-4,3470.9
