id,x,y,z,vx,vy,vz
1,-3.05750092197869139e-1,-2.90997121864015051e-1,-2.73569353165097366e-3,0,0,0
2,-3.46098228929268781e-1,5.87881999084375662e-1,1.39967998286895945e0,0,0,0
3,-1.41695261979948722e-1,7.65600851185719522e-1,1.03046907500880192e0,0,0,0
4,8.04794758661507181e-1,-2.18231684248155228e-1,1.18744118047142733e0,0,0,0
5,-5.41493160545409524e-1,1.56359511511998839e-1,8.11770817268621936e-2,0,0,0
6,2.67535072065448576e-1,-6.39099742607211030e-1,7.82445114259361585e-1,0,0,0
7,-5.10153100352346511e-1,-5.78772247735664269e-1,5.70654042098044711e-1,0,0,0
8,2.62134284068086254e-2,1.20765077509818006e-1,1.67462292991617434e0,0,0,0
9,-6.02177987191567454e-1,3.09492978104440430e-1,1.61744794719574592e0,0,0,0
10,4.64870666694424395e-1,4.51970915101538639e-1,8.37440697471091955e-1,0,0,0
11,1.96947359054843563e-1,-6.19795881811258442e-1,1.57937123666241108e0,0,0,0
12,-5.52531349010604522e-1,-4.23488353553758856e-1,1.10586663197787516e0,0,0,0
13,-5.15392303551384212e-1,3.56116273473556511e-1,1.55228064648552100e0,0,0,0
14,-7.14578010136113329e-1,8.31609953595113666e-2,1.33052307251534030e0,0,0,0
15,-6.70179580533045605e-1,5.54941325147401021e-1,9.64711738100049593e-2,0,0,0
16,2.80416223400432985e-1,-6.84471531923304011e-1,7.45392839967173870e-1,0,0,0
17,5.54318188660070543e-1,1.58088568973330512e-2,1.00083542090680266e0,0,0,0
18,6.31735273911571027e-1,3.94338734345142661e-1,8.76655318268849792e-1,0,0,0
19,-3.44831752472377795e-1,5.01100830693883781e-1,4.12463718662308687e-1,0,0,0
20,7.21719335310054277e-1,-2.90141100271004260e-1,1.14667014490604768e0,0,0,0
21,6.93007909959596269e-1,-3.54828930428371325e-1,1.19025490335691075e0,0,0,0
22,2.41486006929550912e-1,-8.35900300076214187e-1,2.71175375284176123e-1,0,0,0
23,2.52535583929335949e-1,-4.09960693471371707e-1,5.09595991221376207e-2,0,0,0
24,-3.21161745077671978e-1,5.02180670612572100e-1,3.57395582486861596e-1,0,0,0
25,3.87284219449539946e-1,1.49881443700017297e-1,1.23135795985778418e0,0,0,0
26,4.27881756410986414e-1,6.56494254618676498e-1,2.59725958909695853e-1,0,0,0
27,-1.73340498141504040e-1,5.19666011987188203e-1,3.04016215767623277e-1,0,0,0
28,5.91547632945537250e-1,7.63268325670500153e-2,1.96058156603070938e-1,0,0,0
29,7.26282158855579563e-1,-4.79081712877240884e-1,1.47911961616536902e0,0,0,0
30,-4.39468073297090589e-1,2.10945636965712391e-1,1.21433195173242936e0,0,0,0
31,1.05651339630784304e-2,1.08194641084476365e-1,1.51867540871713236e0,0,0,0
