id,x,y,z,vx,vy,vz
1,-3.90882193378118192e-1,5.37105563912676165e-1,1.96560094020898402e0,3.76894614884807667e-3,-4.99982704825396515e-3,-5.89622063334546559e-2
2,-3.39757950737597458e-1,5.76064246476513220e-1,1.35044049694941815e0,-3.05176066489376086e-3,-7.27324958513155938e-3,-7.09801493866785149e-2
3,-1.39216627618595240e-1,7.44408938693569944e-1,9.96228615423106478e-1,1.38853536245124717e-3,-4.79152779229842420e-3,-5.98732256192911830e-2
4,7.92631431003606002e-1,-2.11793424904673150e-1,1.15142972904536167e0,-9.56707944833691998e-5,-2.90342371532044397e-3,-4.46006520502648315e-2
5,-4.79101653190699361e-1,1.12230469802150110e-1,4.62603876698892830e-2,8.87630775479859024e-2,-1.43795206118261226e-2,-4.23031397159976744e-2
6,2.52233950965736309e-1,-6.17689146465184358e-1,7.32675925586059984e-1,-5.49186158058227215e-3,3.37615178296584275e-3,-5.11325886112902889e-2
7,-5.00459764690127429e-1,-5.60371734874585026e-1,5.30332641157836515e-1,-4.60872002535110594e-3,6.05288841020602212e-3,-5.38092161871991867e-2
8,2.79842595875973640e-2,1.17800890052578017e-1,1.62841947025853617e0,-3.53634957960109134e-3,1.62767986928448699e-3,-7.40511562063435880e-2
9,-5.89180449602056400e-1,3.11296066137146554e-1,1.58921662928071927e0,-1.12726794711032067e-3,9.01736195393729287e-4,-7.51860099380439600e-2
10,4.41830775214193339e-1,4.38017489131841686e-1,7.76191401765872091e-1,-6.34977608409350181e-3,-9.96439116425867390e-3,-5.29736378654735093e-2
11,1.86290428583723189e-1,-6.13480538238067474e-1,1.54927538040871093e0,-8.93637352588656786e-3,3.04019488634199846e-3,-7.03460234639707443e-2
12,-5.32811925653183027e-1,-4.14123140410609047e-1,1.03903224584780052e0,2.26294975043959566e-3,9.00885891885474382e-3,-7.59722902133345979e-2
13,-5.11696847205214578e-1,3.55231617667427002e-1,1.50654926202549477e0,-1.82573145684726242e-3,-7.29106303133746872e-5,-7.36955986175897165e-2
14,-7.08267093223107325e-1,8.60332104943989373e-2,1.27946133514800220e0,5.46557545730718677e-4,1.86498039819499068e-3,-7.56941870017560359e-2
15,-6.47266259573469838e-1,5.81480386081191791e-1,9.48796664633511921e-2,2.09429218991250563e-3,3.08469735780658727e-3,-3.01386537215975227e-2
16,2.78947983865841465e-1,-6.66543617573987390e-1,7.10349356819341526e-1,-3.44801282203316493e-3,-7.31600526510152536e-4,-4.21814920177155453e-2
17,5.30648967375601521e-1,2.05381735008617547e-2,9.33000779398607816e-1,-6.55806105241211936e-3,2.77834168367528797e-3,-5.99791118285709288e-2
18,6.17844044536081327e-1,3.85088612617685733e-1,8.57981270461866341e-1,-3.10935945624018313e-3,-1.16594553347998679e-3,-4.91036533489144777e-2
19,-3.22347045721873116e-1,4.52581640383766748e-1,3.59282912084091299e-1,-5.52218562077157801e-3,-2.08515960673848789e-2,-6.09155222501405955e-2
20,7.09872829140977823e-1,-2.85935516477756169e-1,1.12161039241141425e0,-1.33586024760712317e-2,-7.35499054466906056e-4,-5.39009139257943873e-2
21,6.89232601598064765e-1,-3.38705130656772213e-1,1.14663861799063760e0,-4.65494974464711418e-3,2.17601802836448355e-3,-5.19253364729041697e-2
22,2.32610981047058324e-1,-8.38153206452670219e-1,3.20501506387471879e-1,-2.70388882591873683e-3,5.42738279910676092e-4,-8.74089459079521909e-3
23,1.85030838780733925e-1,-2.47451361288152566e-1,-1.49149773326527346e-1,-2.67873264028719547e-2,4.67370460452996225e-2,-7.08298436393126063e-2
24,-2.87655112725626272e-1,4.57388658967744444e-1,2.75163290893482737e-1,2.51640725999399077e-3,-5.31658454770266783e-2,-7.26463331457241623e-2
25,3.65226976233300082e-1,1.42581216514349990e-1,1.16120032970773046e0,-6.00033099515038214e-3,-9.06249182644410043e-4,-6.77025315009284062e-2
26,4.09604684329905877e-1,6.57740946911764102e-1,2.43648051585731412e-1,-5.67731183725896961e-3,-1.51411328222596127e-2,-2.40940340198807258e-2
27,-1.12965685470236984e-1,4.23392319425828112e-1,1.67533710056072427e-1,-1.02396175450514427e-2,-4.98268621143294066e-2,-1.07520151522792484e-1
28,5.23356269871812163e-1,8.11949217470616241e-2,1.01595692301847521e-1,-2.20537641898950754e-2,-2.42764941694637894e-3,-3.85158358099901635e-2
29,7.30960585778736238e-1,-4.71814212441925951e-1,1.44227260358089326e0,2.45129201500337013e-2,3.76493890550206947e-2,-9.72656040490306462e-2
30,-4.31750009604660423e-1,2.01679538746770581e-1,1.14694590937280250e0,1.38983145303589266e-3,-1.45039512983542338e-3,-7.60382353034280423e-2
31,-6.41910607844148155e-4,1.04226146978178003e-1,1.45016195361951827e0,-3.27780560374247654e-3,2.27333285229760736e-3,-7.41883720293551596e-2
32,4.45893774168605261e-1,6.74568162928963266e-1,4.55208212142942659e-1,-3.16529512011995504e-3,9.10184929128268869e-4,-3.52595880500824257e-2
33,2.52376021359705438e-1,6.01924057682965644e-3,1.63070096225535199e-2,-1.09798367155282267e-1,-7.67276450953905953e-2,-1.78093386380712232e-1
34,-2.53172177466524650e-1,4.27367676057228106e-3,1.39562219763218498e0,-2.50711477043060946e-3,4.17639845220845493e-4,-7.73279702346462011e-2
35,-4.70734694591318614e-1,6.03424406301279692e-1,2.36460037494772915e-2,1.95391324472653921e-2,-2.84427039874542813e-2,-2.34862752606962155e-2
36,4.24428079957231363e-1,-4.28495142682426722e-1,-1.34250319741925861e-1,-3.42311255194585953e-3,2.22072148998652720e-2,-1.29890389544308690e-2
37,-4.71863417023211607e-1,6.36925842632509592e-2,8.46157407647749493e-1,6.37021040678144041e-3,6.41195777697161403e-3,-7.37826016740808638e-2
38,-3.53846306032268410e-1,-2.03215476451182764e-1,9.77346987861250349e-2,-2.92038407857672482e-2,1.59424688574713071e-2,-7.38084761646648352e-2
39,-5.73957585415809990e-1,-4.78154338858909067e-1,1.65723397212449575e0,1.86345964096008951e-3,1.12575713652482198e-2,-7.76437957335551349e-2
40,-2.99706384821953165e-1,7.11428450645853055e-2,8.78918822712051684e-1,1.21064287600183059e-2,-1.68752632546148346e-3,-8.44467026567917584e-2
41,3.50902700876416340e-1,-9.66179842945994599e-2,1.45513320266270862e0,-6.18919394289073332e-3,2.52449947739773585e-3,-6.84393472719965479e-2
42,-3.06450537499196263e-1,-7.64787875923323313e-1,1.87118926840004596e0,-2.43775758061862049e-3,6.98391569328234672e-3,-7.07810465262368044e-2
43,5.69025016677728868e-1,-3.05838820633338393e-1,6.91854493997372755e-1,-9.55053379274800086e-3,2.59149967946098935e-3,-4.42512040615283542e-2
44,-6.76837328912305747e-1,5.46833986316665244e-1,7.05516082838171021e-1,6.03424718714052049e-3,8.29612605727253483e-3,-4.69806989656596993e-2
45,-3.11384568780020632e-1,-4.16159559845498739e-1,3.53819372323789516e-1,3.28656702877426696e-2,5.18967045269433901e-3,-7.97029131555541531e-2
46,5.18555601082472895e-1,-3.94455911619377486e-1,1.26555306554625546e0,1.35466464655604633e-3,6.09028091200118030e-3,-5.76460237351859653e-2
47,3.76277862085010444e-3,8.21177825101739534e-1,1.89153198579097537e0,-8.68599993454061310e-3,-2.31848856816018336e-5,-6.48717147432286978e-2
48,-1.87604290860633599e-1,2.25275814523588636e-1,7.29513533880164600e-1,-1.44233457164682412e-2,-3.36586707071479842e-3,-9.62515979976899944e-2
49,6.34415522535267118e-1,-8.92944245374362178e-2,6.19518096108012228e-1,-1.77189480319648075e-2,7.64537243959190552e-3,-5.37778117208186218e-2
50,6.65919115259320515e-2,-1.39620868735117143e-1,1.25128608000657726e0,-4.21637282215589233e-3,2.18596721192442596e-3,-7.13301881051096737e-2
51,4.36355362156580009e-2,3.67571222135376297e-1,5.68554995011383776e-2,5.81584847522543559e-3,-4.37612167588356665e-2,-1.08529435445144179e-1
52,-6.60965992073549224e-1,-4.94341966489562024e-1,1.37904941029311279e-1,9.27770610996897570e-4,-1.04159566246246633e-2,-2.24521661139000517e-2
53,-1.18777524830317296e-1,-5.59813421661154886e-1,8.69402631769589651e-1,6.70132802812749154e-4,8.58886975353619943e-3,-6.61855743048818945e-2
54,-2.63951337490521021e-1,1.67070720815833296e-1,1.50331096726004065e0,5.67322333478222454e-4,-1.10741481040421263e-3,-7.70032116334046640e-2
55,-4.13313777249036451e-1,-4.72295549757336175e-1,1.34700513937009703e0,-3.77351317937765513e-3,5.12214194760403016e-3,-7.98882147709599894e-2
56,6.45744198569576433e-1,4.02267550657930795e-1,7.24660954673735369e-1,-2.70773257650353417e-3,3.14273167612225297e-3,-4.86811978594713715e-2
57,6.95191678827312365e-1,5.23080405291861950e-1,1.04744124530478877e0,3.10879699844393651e-3,-4.76497614618595113e-3,-4.06736515130840595e-2
58,-5.43205948184864673e-1,3.88725851684306456e-1,1.83417221275376319e0,-3.15148172183519842e-4,-1.76447855306430127e-3,-7.48488399535959664e-2
59,5.99834521372936358e-1,4.00426497090343378e-2,1.47323457828924999e-2,-3.94125763690847050e-2,4.06976091425789027e-3,-2.28682579826955147e-2
60,-1.59781430696339821e-1,-5.45498422751539702e-1,1.43199839326072897e0,-5.77968303862580034e-3,4.06808216935937699e-3,-7.67197025345256883e-2
61,-5.56128033862782090e-1,-5.39249896845443222e-1,1.40463998565217119e0,-5.98917241213948494e-3,6.55242269839940994e-3,-8.01468730882402003e-2
62,-5.24271253402695203e-1,1.08427093507868166e-1,1.38436306970321565e0,6.63609529664909662e-3,-5.87655010271183938e-4,-7.81703510558017234e-2
63,-6.57638528700315583e-2,-1.78752331904789841e-1,1.69847295693454203e0,-5.59748419803460240e-3,1.43763516651287558e-3,-7.92217933663141582e-2
64,-7.80390795455525726e-2,4.76187939886140887e-1,-3.00273229702980801e-2,-1.88973006591330282e-2,-3.80428763291180624e-2,-4.50108155952999370e-2
65,5.00274066706097420e-1,-6.07485167314957608e-1,1.93023259392508062e0,-1.17292961140376770e-2,2.04004854513654792e-3,-6.85865963863051681e-2
