phase,step,phi_bulk,phi_whole_core,surface_height,core_ke_per_pebble_over_edrop,all_ke_per_pebble_over_edrop
presettle,500,0.572042,0.569878,2.148920,7.928122e-2,7.928122e-2
presettle,1000,0.570670,0.570589,2.145931,2.231386e-1,2.234214e-1
presettle,1500,0.569382,0.566716,2.140049,4.533874e-1,4.641494e-1
presettle,2000,0.568523,0.563976,2.130902,7.816561e-1,8.010176e-1
presettle,2500,0.567901,0.565378,2.118937,1.200455e0,1.224427e0
presettle,3000,0.567524,0.565028,2.103650,1.691870e0,1.726705e0
presettle,3500,0.567945,0.565116,2.085864,2.251525e0,2.298320e0
presettle,4000,0.568947,0.565987,2.064907,2.853421e0,2.909149e0
presettle,4500,0.570822,0.567765,2.040829,3.466739e0,3.531941e0
presettle,5000,0.573784,0.571414,2.013717,4.034044e0,4.114729e0
presettle,5500,0.577935,0.575376,1.983630,4.416459e0,4.536707e0
presettle,6000,0.583843,0.581202,1.950593,4.343325e0,4.445933e0
presettle,6500,0.592086,0.589052,1.914640,3.405529e0,3.494625e0
presettle,7000,0.602266,0.598634,1.877387,1.488921e0,1.719158e0
presettle,7500,0.605850,0.601991,1.862338,1.190854e-1,3.865887e-1
presettle,8000,0.604490,0.600821,1.863375,1.234670e-1,2.732309e-1
presettle,8500,0.601709,0.598136,1.870404,1.244901e-1,1.778299e-1
presettle,9000,0.599509,0.595864,1.876342,4.070455e-2,5.924790e-2
presettle,9500,0.598024,0.594425,1.880060,2.803225e-2,3.462858e-2
presettle,10000,0.597530,0.593833,1.880737,6.522884e-2,6.311273e-2
presettle,10500,0.598364,0.594213,1.878263,1.147435e-1,1.058745e-1
presettle,11000,0.600413,0.595926,1.872566,1.554536e-1,1.427245e-1
presettle,11500,0.603566,0.598453,1.864511,1.490429e-1,1.365371e-1
presettle,12000,0.607044,0.601871,1.853406,6.404131e-2,5.868547e-2
presettle,12500,0.608137,0.603623,1.847880,9.181554e-3,8.509556e-3
presettle,13000,0.607949,0.603817,1.847357,1.422871e-2,1.301798e-2
presettle,13500,0.607363,0.603332,1.848845,1.229339e-2,1.123279e-2
presettle,14000,0.606983,0.603214,1.849427,2.476297e-3,2.267028e-3
presettle,14500,0.607089,0.603496,1.848564,2.847477e-3,2.598752e-3
presettle,15000,0.607617,0.603960,1.846995,7.181489e-3,6.545829e-3
presettle,15500,0.608117,0.604440,1.845382,3.834264e-3,3.498582e-3
presettle,16000,0.608293,0.604688,1.844623,3.578554e-4,3.267660e-4
