step,x1,y1,z1,vx1,vy1,vz1,omegax1,omegay1,omegaz1,x2,y2,z2,vx2,vy2,vz2,omegax2,omegay2,omegaz2
0,-0.0048999999999999998,0,0,0,0,0,0,20,0,0.0048999999999999998,0,0,0,0,0,0,-20,0
10,-0.0049000395466983673,0,0,-0.0079057491370355965,0,0,0,19.802167609564847,0,0.0049000395466983673,0,0,0.0079057491370355965,0,0,0,-19.802167609564847,0
20,-0.0049001580291021815,0,0,-0.015785518059412598,0,0,0,19.60456973425072,0,0.0049001580291021815,0,0,0.015785518059412598,0,0,0,-19.60456973425072,0
30,-0.0049003551406117778,0,0,-0.023630002990223317,0,0,0,19.407439881816231,0,0.0049003551406117778,0,0,0.023630002990223317,0,0,0,-19.407439881816231,0
40,-0.0049006304824542966,0,0,-0.031430034996142414,0,0,0,19.211009961126639,0,0.0049006304824542966,0,0,0.031430034996142414,0,0,0,-19.211009961126639,0
50,-0.0049009835647218572,0,0,-0.039176559601715337,0,0,0,19.015509739597118,0,0.0049009835647218572,0,0,0.039176559601715337,0,0,0,-19.015509739597118,0
60,-0.0049014138076211777,0,0,-0.046860657721786214,0,0,0,18.821166309179446,0,0.0049014138076211777,0,0,0.046860657721786214,0,0,0,-18.821166309179446,0
70,-0.0049019205429301823,0,0,-0.054473566117224113,0,0,0,18.628203562519115,0,0.0049019205429301823,0,0,0.054473566117224113,0,0,0,-18.628203562519115,0
80,-0.0049025030156565437,0,0,-0.062006697313288853,0,0,0,18.436841680856293,0,0.0049025030156565437,0,0,0.062006697313288853,0,0,0,-18.436841680856293,0
90,-0.0049031603858924648,0,0,-0.069451658922767764,0,0,0,18.247296635182362,0,0.0049031603858924648,0,0,0.069451658922767764,0,0,0,-18.247296635182362,0
100,-0.0049038917308595002,0,0,-0.076800272319107174,0,0,0,18.059779702093824,0,0.0049038917308595002,0,0,0.076800272319107174,0,0,0,-18.059779702093824,0
110,-0.0049046960471366367,0,0,-0.084044590608128508,0,0,0,17.874496995708963,0,0.0049046960471366367,0,0,0.084044590608128508,0,0,0,-17.874496995708963,0
120,-0.0049055722530643832,0,0,-0.091176915850553999,0,0,0,17.69164901692848,0,0.0049055722530643832,0,0,0.091176915850553999,0,0,0,-17.69164901692848,0
130,-0.0049065191913171607,0,0,-0.098189815491440166,0,0,0,17.511430221231485,0,0.0049065191913171607,0,0,0.098189815491440166,0,0,0,-17.511430221231485,0
140,-0.0049075356316358532,0,0,-0.10507613795672126,0,0,0,17.334028606101906,0,0.0049075356316358532,0,0,0.10507613795672126,0,0,0,-17.334028606101906,0
150,-0.0049086202737120077,0,0,-0.11182902738137322,0,0,0,17.159625319079016,0,0.0049086202737120077,0,0,0.11182902738137322,0,0,0,-17.159625319079016,0
160,-0.0049097717502148445,0,0,-0.11844193743820608,0,0,0,16.988394287318933,0,0.0049097717502148445,0,0,0.11844193743820608,0,0,0,-16.988394287318933,0
170,-0.0049109886299519498,0,0,-0.12490864424096323,0,0,0,16.820501869443163,0,0.0049109886299519498,0,0,0.12490864424096323,0,0,0,-16.820501869443163,0
180,-0.0049122694211542759,0,0,-0.13122325830022774,0,0,0,16.656106530334959,0,0.0049122694211542759,0,0,0.13122325830022774,0,0,0,-16.656106530334959,0
