batch,extracted,n,phi_bulk,phi_whole_core,bed_top,ke_per_pebble_over_edrop,elapsed_s
0,0,27554,0.576970,0.572895,1.965068,0.000000e0,0.1
1,50,27554,0.577259,0.572624,1.968794,9.339556e-3,97.1
2,100,27554,0.577030,0.571850,1.972778,2.614306e-2,194.0
3,150,27554,0.576782,0.571503,1.974986,3.038012e-2,309.4
4,200,27554,0.576196,0.571098,1.975300,3.613552e-2,433.5
5,250,27554,0.576045,0.570418,1.977340,3.093923e-2,531.9
6,300,27554,0.575225,0.569626,1.979780,3.482962e-2,625.2
7,350,27554,0.575397,0.569124,1.982071,3.063907e-2,723.7
8,400,27554,0.575064,0.568510,1.983117,2.909620e-2,820.6
9,450,27554,0.574872,0.567988,1.985878,3.151413e-2,918.3
10,500,27554,0.573910,0.567985,1.985811,3.025582e-2,1016.0
11,550,27554,0.573424,0.567638,1.987259,3.281278e-2,1114.8
12,600,27554,0.573737,0.567581,1.986911,2.839430e-2,1211.6
13,650,27554,0.573243,0.567117,1.988066,3.749768e-2,1309.4
14,700,27554,0.573997,0.567512,1.987309,2.610900e-2,1407.2
15,750,27554,0.570343,0.567042,1.989115,4.085623e-2,1500.1
16,800,27554,0.571462,0.566423,1.990267,3.055170e-2,1595.4
17,850,27554,0.572660,0.566190,1.991399,3.873076e-2,1693.2
18,900,27554,0.571305,0.566523,1.991408,2.888735e-2,1791.9
19,950,27554,0.571321,0.566677,1.991336,3.249807e-2,1888.1
20,1000,27554,0.572179,0.566264,1.992159,3.137182e-2,1985.0
21,1050,27554,0.572578,0.566571,1.991866,2.755091e-2,2081.7
22,1100,27554,0.572398,0.565620,1.995766,2.899115e-2,2178.7
23,1150,27554,0.572303,0.565443,1.996075,3.591108e-2,2315.0
24,1200,27554,0.572265,0.565618,1.994436,3.903056e-2,2421.9
25,1250,27554,0.571396,0.565427,1.995110,2.845505e-2,2519.0
26,1300,27554,0.571907,0.565527,1.994836,4.317173e-2,2615.5
27,1350,27554,0.570572,0.564938,1.997389,2.780006e-2,2716.2
28,1400,27554,0.571681,0.565365,1.996506,3.368618e-2,2812.7
29,1450,27554,0.568813,0.564839,1.998762,3.294936e-2,2909.1
30,1500,27554,0.570878,0.564594,1.999233,3.205544e-2,3005.2
31,1550,27554,0.570117,0.564444,2.000712,3.255533e-2,3100.4
32,1600,27554,0.569200,0.564233,2.000119,3.550321e-2,3197.1
33,1650,27554,0.567158,0.563907,2.000804,3.180668e-2,3293.1
34,1700,27554,0.568634,0.564128,2.000017,3.484011e-2,3390.1
35,1750,27554,0.569037,0.563607,2.002497,3.328568e-2,3485.4
36,1800,27554,0.570369,0.563592,2.002946,3.071050e-2,3582.3
37,1850,27554,0.569339,0.563704,2.002863,3.136402e-2,3678.2
38,1900,27554,0.569740,0.563511,2.002838,3.139657e-2,3776.4
39,1950,27554,0.568875,0.563129,2.004516,3.031129e-2,3875.3
40,2000,27554,0.569708,0.563341,2.004155,3.444374e-2,3972.2
