phase,step,phi_bulk,phi_whole_core,surface_height,core_ke_per_pebble_over_edrop,all_ke_per_pebble_over_edrop
presettle,500,0.571991,0.569862,2.148981,7.826053e-2,7.826053e-2
presettle,1000,0.570541,0.570535,2.146132,2.222663e-1,2.225434e-1
presettle,1500,0.569179,0.566535,2.140417,4.518251e-1,4.626184e-1
presettle,2000,0.568250,0.563789,2.131452,7.790885e-1,7.984977e-1
presettle,2500,0.567553,0.565180,2.119600,1.195751e0,1.219861e0
presettle,3000,0.567128,0.564672,2.104741,1.682229e0,1.717407e0
presettle,3500,0.567498,0.564711,2.086808,2.234034e0,2.282109e0
presettle,4000,0.568396,0.565582,2.065914,2.831026e0,2.885787e0
presettle,4500,0.570299,0.567430,2.042035,3.420950e0,3.489693e0
presettle,5000,0.573225,0.570873,2.015083,3.949903e0,4.034825e0
presettle,5500,0.577450,0.574818,1.985401,4.273284e0,4.390042e0
presettle,6000,0.583592,0.580879,1.952519,4.128665e0,4.228186e0
presettle,6500,0.592223,0.588777,1.916590,2.983076e0,3.090003e0
presettle,7000,0.601375,0.597606,1.882475,9.714526e-1,1.199324e0
presettle,7500,0.602934,0.598725,1.873835,4.780260e-2,2.880757e-1
presettle,8000,0.600676,0.596607,1.878399,1.805057e-1,3.031865e-1
presettle,8500,0.597555,0.593424,1.886453,1.273819e-1,1.890393e-1
presettle,9000,0.595125,0.591111,1.892331,4.468304e-2,6.634594e-2
presettle,9500,0.593489,0.589565,1.895787,3.910823e-2,4.719071e-2
presettle,10000,0.593042,0.589018,1.896567,7.794921e-2,7.664947e-2
presettle,10500,0.593841,0.589633,1.893983,1.386371e-1,1.298002e-1
presettle,11000,0.595769,0.591238,1.888466,1.980579e-1,1.819494e-1
presettle,11500,0.598841,0.593876,1.879852,2.149342e-1,1.969416e-1
presettle,12000,0.602881,0.597435,1.868136,1.308259e-1,1.195024e-1
presettle,12500,0.605408,0.600540,1.858327,2.195952e-2,2.008896e-2
presettle,13000,0.605414,0.601034,1.856801,1.826079e-2,1.667903e-2
presettle,13500,0.604646,0.600240,1.859480,2.271632e-2,2.074499e-2
presettle,14000,0.604051,0.600022,1.860376,7.230167e-3,6.616563e-3
presettle,14500,0.603989,0.600003,1.860436,1.959693e-3,1.792417e-3
presettle,15000,0.604521,0.600666,1.858381,1.060097e-2,9.669106e-3
presettle,15500,0.605282,0.601302,1.856121,1.048483e-2,9.568156e-3
presettle,16000,0.605689,0.601778,1.854578,1.569526e-3,1.436784e-3
presettle,16500,0.605666,0.601731,1.854796,1.752705e-3,1.601170e-3
presettle,17000,0.605341,0.601409,1.855791,1.743885e-3,1.590375e-3
presettle,17500,0.605191,0.601299,1.856130,1.610170e-4,1.472928e-4
presettle,18000,0.605310,0.601457,1.855641,7.271330e-4,6.638532e-4
