phase,step,phi_bulk,phi_whole_core,surface_height,core_ke_per_pebble_over_edrop,all_ke_per_pebble_over_edrop
presettle,500,0.571940,0.569843,2.149053,7.805236e-2,7.805236e-2
presettle,1000,0.570394,0.570481,2.146337,2.218770e-1,2.221506e-1
presettle,1500,0.568954,0.566318,2.140847,4.504170e-1,4.613804e-1
presettle,2000,0.567947,0.563613,2.132040,7.761486e-1,7.956335e-1
presettle,2500,0.567169,0.564997,2.120288,1.190690e0,1.214631e0
presettle,3000,0.566677,0.564253,2.105677,1.671635e0,1.707742e0
presettle,3500,0.566974,0.564433,2.087839,2.216600e0,2.265961e0
presettle,4000,0.567800,0.565176,2.067164,2.803482e0,2.859849e0
presettle,4500,0.569681,0.566937,2.043495,3.372846e0,3.445994e0
presettle,5000,0.572522,0.570076,2.016965,3.895471e0,3.982123e0
presettle,5500,0.576806,0.574191,1.987183,4.149056e0,4.268096e0
presettle,6000,0.583138,0.580386,1.954486,3.859766e0,3.967044e0
presettle,6500,0.591859,0.588395,1.918741,2.619695e0,2.726781e0
presettle,7000,0.599624,0.595733,1.889511,5.856729e-1,8.213360e-1
presettle,7500,0.599531,0.595666,1.885696,5.643123e-2,2.804083e-1
presettle,8000,0.597036,0.593079,1.892048,1.936118e-1,3.026992e-1
presettle,8500,0.594138,0.590280,1.899737,1.027131e-1,1.555693e-1
presettle,9000,0.591871,0.588016,1.905540,4.016135e-2,6.883425e-2
presettle,9500,0.590383,0.586517,1.908669,5.106038e-2,6.470750e-2
presettle,10000,0.590076,0.586120,1.907989,9.731147e-2,9.575227e-2
presettle,10500,0.591100,0.586931,1.904444,1.565310e-1,1.458426e-1
presettle,11000,0.593276,0.588651,1.898275,2.095339e-1,1.926289e-1
presettle,11500,0.596592,0.591307,1.889297,2.196326e-1,2.011622e-1
presettle,12000,0.600804,0.594952,1.877351,1.274007e-1,1.166173e-1
presettle,12500,0.602930,0.597806,1.868164,1.714216e-2,1.585306e-2
presettle,13000,0.602757,0.597809,1.868155,1.606141e-2,1.474784e-2
presettle,13500,0.602075,0.597510,1.869314,1.785567e-2,1.639240e-2
presettle,14000,0.601572,0.597104,1.870734,4.162338e-3,3.830570e-3
presettle,14500,0.601634,0.597195,1.870449,2.824607e-3,2.584888e-3
presettle,15000,0.602238,0.597795,1.868495,1.027043e-2,9.378279e-3
presettle,15500,0.602906,0.598556,1.865971,6.911952e-3,6.317251e-3
presettle,16000,0.603191,0.598819,1.864930,3.908047e-4,3.595090e-4
