phase,step,phi_bulk,phi_whole_core,surface_height,core_ke_per_pebble_over_edrop,all_ke_per_pebble_over_edrop
presettle,500,0.571891,0.569829,2.149106,7.844156e-2,7.844156e-2
presettle,1000,0.570244,0.570456,2.146587,2.219427e-1,2.220984e-1
presettle,1500,0.568704,0.566117,2.141294,4.492108e-1,4.602093e-1
presettle,2000,0.567606,0.563453,2.132723,7.733225e-1,7.928147e-1
presettle,2500,0.566740,0.564663,2.121148,1.184906e0,1.209350e0
presettle,3000,0.566156,0.563777,2.106823,1.661678e0,1.698774e0
presettle,3500,0.566384,0.563952,2.089223,2.200171e0,2.250704e0
presettle,4000,0.567143,0.564716,2.068692,2.772280e0,2.831567e0
presettle,4500,0.568937,0.566284,2.045382,3.327551e0,3.401988e0
presettle,5000,0.571767,0.569413,2.019154,3.803414e0,3.895321e0
presettle,5500,0.576196,0.573620,1.989703,3.978056e0,4.110790e0
presettle,6000,0.582498,0.579763,1.957123,3.642138e0,3.743206e0
presettle,6500,0.591336,0.587794,1.921534,2.345602e0,2.441946e0
presettle,7000,0.598018,0.594013,1.896180,3.548397e-1,5.924503e-1
presettle,7500,0.597043,0.593109,1.895698,1.159453e-1,3.210533e-1
presettle,8000,0.593694,0.589587,1.904158,2.200724e-1,3.178124e-1
presettle,8500,0.590739,0.586597,1.911968,1.023958e-1,1.572556e-1
presettle,9000,0.588449,0.584518,1.917097,4.411710e-2,6.705620e-2
presettle,9500,0.587077,0.583351,1.919866,5.175378e-2,6.229029e-2
presettle,10000,0.586965,0.583127,1.919156,9.986858e-2,9.952113e-2
presettle,10500,0.588024,0.584069,1.915452,1.693336e-1,1.591454e-1
presettle,11000,0.590187,0.585731,1.909258,2.319889e-1,2.141189e-1
presettle,11500,0.593471,0.588501,1.899819,2.518619e-1,2.306657e-1
presettle,12000,0.597786,0.592239,1.887678,1.628526e-1,1.491100e-1
presettle,12500,0.600541,0.595615,1.876827,2.706618e-2,2.505094e-2
presettle,13000,0.600574,0.595970,1.875635,1.426235e-2,1.315863e-2
presettle,13500,0.599924,0.595542,1.877207,2.062774e-2,1.892825e-2
presettle,14000,0.599336,0.595073,1.878685,6.330310e-3,5.851899e-3
presettle,14500,0.599267,0.594977,1.878990,1.813708e-3,1.673350e-3
presettle,15000,0.599783,0.595567,1.877128,9.893597e-3,9.051270e-3
presettle,15500,0.600502,0.596256,1.874885,8.682377e-3,7.950199e-3
presettle,16000,0.600869,0.596652,1.873639,9.079456e-4,8.509882e-4
