phase,step,phi_bulk,phi_whole_core,surface_height,core_ke_per_pebble_over_edrop,all_ke_per_pebble_over_edrop
presettle,500,0.571690,0.569783,2.149278,7.998268e-2,7.998268e-2
presettle,1000,0.569222,0.569869,2.148875,2.145084e-1,2.145965e-1
presettle,1500,0.566652,0.564153,2.146699,4.178783e-1,4.297474e-1
presettle,2000,0.564562,0.561045,2.141321,7.080961e-1,7.293918e-1
presettle,2500,0.562777,0.561314,2.132854,1.077179e0,1.103965e0
presettle,3000,0.561410,0.558951,2.121435,1.491467e0,1.536001e0
presettle,3500,0.560830,0.559093,2.106985,1.930456e0,1.993389e0
presettle,4000,0.560903,0.558279,2.090074,2.330921e0,2.417966e0
presettle,4500,0.562177,0.559914,2.069682,2.566107e0,2.684243e0
presettle,5000,0.564782,0.561944,2.046308,2.488315e0,2.653176e0
presettle,5500,0.569330,0.565861,2.019813,2.002229e0,2.193065e0
presettle,6000,0.575942,0.571557,1.990508,9.681422e-1,1.145273e0
presettle,6500,0.576949,0.573072,1.980515,7.715356e-2,2.168840e-1
presettle,7000,0.575378,0.571661,1.983458,7.961932e-2,1.877307e-1
presettle,7500,0.573594,0.569863,1.988548,6.018471e-2,1.725685e-1
presettle,8000,0.571921,0.568264,1.992344,2.427041e-2,8.717245e-2
presettle,8500,0.571141,0.567441,1.993431,4.294290e-2,7.716265e-2
presettle,9000,0.571330,0.567627,1.990821,1.074843e-1,1.283640e-1
presettle,9500,0.572575,0.568524,1.986116,1.650214e-1,1.788233e-1
presettle,10000,0.574861,0.570355,1.978417,1.635472e-1,1.751075e-1
presettle,10500,0.577582,0.572925,1.968768,6.742722e-2,8.195156e-2
presettle,11000,0.577937,0.573561,1.965265,5.852258e-3,1.995026e-2
presettle,11500,0.577332,0.573050,1.966244,1.000090e-2,1.820749e-2
presettle,12000,0.576754,0.572394,1.967877,3.823171e-3,7.188970e-3
presettle,12500,0.576523,0.572209,1.968045,2.489800e-3,4.453955e-3
presettle,13000,0.576756,0.572560,1.966604,4.647261e-3,5.693764e-3
presettle,13500,0.576982,0.572879,1.965200,2.101160e-3,2.865472e-3
presettle,14000,0.576970,0.572895,1.965068,3.750248e-4,9.521650e-4
