step,x1,y1,z1,vx1,vy1,vz1,omegax1,omegay1,omegaz1,x2,y2,z2,vx2,vy2,vz2,omegax2,omegay2,omegaz2
130,-0.0058699999999999829,6.4999999999999872e-05,0,1,0.5,0,0,0,0,0.0058699999999999829,-6.4999999999999872e-05,0,-1,-0.5,0,0,0,0
140,-0.0058599999999999815,6.9999999999999858e-05,0,1,0.5,0,0,0,0,0.0058599999999999815,-6.9999999999999858e-05,0,-1,-0.5,0,0,0,0
150,-0.0058499999999999802,7.4999999999999844e-05,0,1,0.5,0,0,0,0,0.0058499999999999802,-7.4999999999999844e-05,0,-1,-0.5,0,0,0,0
160,-0.0058399999999999789,7.999999999999983e-05,0,1,0.5,0,0,0,0,0.0058399999999999789,-7.999999999999983e-05,0,-1,-0.5,0,0,0,0
170,-0.0058299999999999776,8.4999999999999816e-05,0,1,0.5,0,0,0,0,0.0058299999999999776,-8.4999999999999816e-05,0,-1,-0.5,0,0,0,0
180,-0.0058199999999999762,8.9999999999999802e-05,0,1,0.5,0,0,0,0,0.0058199999999999762,-8.9999999999999802e-05,0,-1,-0.5,0,0,0,0
190,-0.0058099999999999749,9.4999999999999788e-05,0,1,0.5,0,0,0,0,0.0058099999999999749,-9.4999999999999788e-05,0,-1,-0.5,0,0,0,0
200,-0.0057999999999999736,9.9999999999999774e-05,0,1,0.5,0,0,0,0,0.0057999999999999736,-9.9999999999999774e-05,0,-1,-0.5,0,0,0,0
210,-0.0057899999999999723,0.00010499999999999976,0,1,0.5,0,0,0,0,0.0057899999999999723,-0.00010499999999999976,0,-1,-0.5,0,0,0,0
220,-0.0057799999999999709,0.00010999999999999975,0,1,0.5,0,0,0,0,0.0057799999999999709,-0.00010999999999999975,0,-1,-0.5,0,0,0,0
230,-0.0057699999999999696,0.00011499999999999973,0,1,0.5,0,0,0,0,0.0057699999999999696,-0.00011499999999999973,0,-1,-0.5,0,0,0,0
240,-0.0057599999999999683,0.00011999999999999972,0,1,0.5,0,0,0,0,0.0057599999999999683,-0.00011999999999999972,0,-1,-0.5,0,0,0,0
250,-0.0057499999999999669,0.00012499999999999979,0,1,0.5,0,0,0,0,0.0057499999999999669,-0.00012499999999999979,0,-1,-0.5,0,0,0,0
260,-0.0057399999999999656,0.00012999999999999991,0,1,0.5,0,0,0,0,0.0057399999999999656,-0.00012999999999999991,0,-1,-0.5,0,0,0,0
270,-0.0057299999999999643,0.00013500000000000003,0,1,0.5,0,0,0,0,0.0057299999999999643,-0.00013500000000000003,0,-1,-0.5,0,0,0,0
280,-0.005719999999999963,0.00014000000000000015,0,1,0.5,0,0,0,0,0.005719999999999963,-0.00014000000000000015,0,-1,-0.5,0,0,0,0
290,-0.0057099999999999616,0.00014500000000000027,0,1,0.5,0,0,0,0,0.0057099999999999616,-0.00014500000000000027,0,-1,-0.5,0,0,0,0
300,-0.0056999999999999603,0.00015000000000000039,0,1,0.5,0,0,0,0,0.0056999999999999603,-0.00015000000000000039,0,-1,-0.5,0,0,0,0
310,-0.005689999999999959,0.00015500000000000051,0,1,0.5,0,0,0,0,0.005689999999999959,-0.00015500000000000051,0,-1,-0.5,0,0,0,0
320,-0.0056799999999999577,0.00016000000000000064,0,1,0.5,0,0,0,0,0.0056799999999999577,-0.00016000000000000064,0,-1,-0.5,0,0,0,0
330,-0.0056699999999999563,0.00016500000000000076,0,1,0.5,0,0,0,0,0.0056699999999999563,-0.00016500000000000076,0,-1,-0.5,0,0,0,0
340,-0.005659999999999955,0.00017000000000000088,0,1,0.5,0,0,0,0,0.005659999999999955,-0.00017000000000000088,0,-1,-0.5,0,0,0,0
350,-0.0056499999999999537,0.000175000000000001,0,1,0.5,0,0,0,0,0.0056499999999999537,-0.000175000000000001,0,-1,-0.5,0,0,0,0
360,-0.0056399999999999523,0.00018000000000000112,0,1,0.5,0,0,0,0,0.0056399999999999523,-0.00018000000000000112,0,-1,-0.5,0,0,0,0
370,-0.005629999999999951,0.00018500000000000124,0,1,0.5,0,0,0,0,0.005629999999999951,-0.00018500000000000124,0,-1,-0.5,0,0,0,0
380,-0.0056199999999999497,0.00019000000000000137,0,1,0.5,0,0,0,0,0.0056199999999999497,-0.00019000000000000137,0,-1,-0.5,0,0,0,0
390,-0.0056099999999999484,0.00019500000000000149,0,1,0.5,0,0,0,0,0.0056099999999999484,-0.00019500000000000149,0,-1,-0.5,0,0,0,0
400,-0.005599999999999947,0.00020000000000000161,0,1,0.5,0,0,0,0,0.005599999999999947,-0.00020000000000000161,0,-1,-0.5,0,0,0,0
410,-0.0055899999999999457,0.00020500000000000173,0,1,0.5,0,0,0,0,0.0055899999999999457,-0.00020500000000000173,0,-1,-0.5,0,0,0,0
