batch,extracted,n,phi_bulk,phi_whole_core,bed_top,ke_per_pebble_over_edrop,elapsed_s
0,0,27554,0.588749,0.584808,1.917363,1.604487e-4,830.0
1,50,27554,0.588754,0.584538,1.921289,1.331743e-2,932.0
2,100,27554,0.588301,0.583841,1.925183,2.481965e-2,1033.3
3,150,27554,0.588740,0.584325,1.924045,2.530800e-2,1134.9
4,200,27554,0.588107,0.583476,1.926309,2.809955e-2,1235.8
5,250,27554,0.588811,0.583261,1.926561,2.389615e-2,1336.9
6,300,27554,0.588085,0.582327,1.930111,2.953053e-2,1435.6
7,350,27554,0.588628,0.582179,1.930220,2.548295e-2,1533.2
8,400,27554,0.587636,0.581898,1.931074,2.703825e-2,1631.9
9,450,27554,0.587224,0.581564,1.932339,2.234830e-2,1735.3
10,500,27554,0.585788,0.581224,1.933851,3.067395e-2,1833.9
11,550,27554,0.588097,0.581944,1.932373,2.347406e-2,1934.7
12,600,27554,0.586786,0.581510,1.934199,2.554395e-2,2034.6
13,650,27554,0.587880,0.581291,1.935462,2.464171e-2,2133.7
14,700,27554,0.587556,0.581224,1.935913,3.130435e-2,2234.9
15,750,27554,0.587761,0.581324,1.935353,2.798801e-2,2384.0
16,800,27554,0.587409,0.580989,1.935702,3.132532e-2,2484.4
17,850,27554,0.587589,0.581267,1.934244,3.573441e-2,2583.9
18,900,27554,0.587375,0.580921,1.935089,3.092505e-2,2686.3
19,950,27554,0.586348,0.581206,1.933756,1.852821e-2,2788.1
20,1000,27554,0.586108,0.580875,1.934858,3.203141e-2,2887.7
21,1050,27554,0.587748,0.581215,1.934491,2.276752e-2,2987.2
22,1100,27554,0.586038,0.581159,1.934297,3.165906e-2,3084.6
23,1150,27554,0.586853,0.580300,1.936162,2.341316e-2,3185.0
24,1200,27554,0.586242,0.580919,1.935170,3.210026e-2,3284.0
25,1250,27554,0.587207,0.580963,1.935179,2.284582e-2,3384.2
26,1300,27554,0.586625,0.580431,1.937563,2.668401e-2,3482.3
27,1350,27554,0.586172,0.580775,1.936722,2.505795e-2,3582.6
28,1400,27554,0.586375,0.580288,1.938272,3.029289e-2,3682.0
29,1450,27554,0.585295,0.579768,1.939014,2.805265e-2,3783.6
30,1500,27554,0.584243,0.580045,1.938545,3.019144e-2,3885.6
31,1550,27554,0.586187,0.580620,1.937086,2.404002e-2,3984.6
32,1600,27554,0.586852,0.580660,1.937260,2.934174e-2,4079.8
33,1650,27554,0.585722,0.580221,1.938190,3.148720e-2,4174.3
34,1700,27554,0.587185,0.580842,1.936880,2.778635e-2,4270.1
35,1750,27554,0.585798,0.579788,1.940019,3.328516e-2,4364.1
36,1800,27554,0.585629,0.580145,1.938288,2.674234e-2,4457.8
37,1850,27554,0.585840,0.579698,1.939401,3.191933e-2,4546.5
38,1900,27554,0.586317,0.579957,1.937537,3.142177e-2,4635.3
39,1950,27554,0.586277,0.580356,1.936437,2.900824e-2,4729.8
40,2000,27554,0.586614,0.580093,1.937621,3.186865e-2,4823.7
