batch,extracted,n,phi_bulk,phi_whole_core,bed_top,ke_per_pebble_over_edrop,elapsed_s
0,0,27554,0.601580,0.597969,1.868917,1.251201e-4,860.1
1,50,27554,0.601501,0.597280,1.873157,1.894217e-2,969.7
2,100,27554,0.601646,0.597424,1.872262,1.968984e-2,1080.2
3,150,27554,0.601629,0.596858,1.874035,2.010047e-2,1188.9
4,200,27554,0.601920,0.596911,1.873868,2.764854e-2,1298.5
5,250,27554,0.601544,0.596377,1.875847,2.059084e-2,1407.9
6,300,27554,0.601897,0.596182,1.876683,2.958882e-2,1512.9
7,350,27554,0.600322,0.595483,1.878735,2.112909e-2,1619.6
8,400,27554,0.602094,0.595860,1.877994,2.503825e-2,1729.9
9,450,27554,0.599683,0.595515,1.878932,2.658115e-2,1837.2
10,500,27554,0.601667,0.595699,1.877832,2.357127e-2,1946.1
11,550,27554,0.601227,0.595639,1.879288,2.384169e-2,2054.5
12,600,27554,0.601378,0.595491,1.879235,2.282754e-2,2162.2
13,650,27554,0.602004,0.595568,1.879365,2.494773e-2,2305.7
14,700,27554,0.602194,0.596141,1.877632,2.425312e-2,2430.1
15,750,27554,0.599874,0.595443,1.878564,2.198032e-2,2538.9
16,800,27554,0.600820,0.594854,1.881245,2.706091e-2,2648.3
17,850,27554,0.602244,0.595346,1.879914,2.215731e-2,2759.8
18,900,27554,0.601902,0.594935,1.881437,2.848907e-2,2867.2
19,950,27554,0.601777,0.594440,1.881361,2.484707e-2,2975.7
20,1000,27554,0.600920,0.594685,1.881780,2.085517e-2,3081.6
21,1050,27554,0.600825,0.594983,1.881658,2.257221e-2,3190.6
22,1100,27554,0.601174,0.595092,1.881092,3.537800e-2,3298.2
23,1150,27554,0.601875,0.595617,1.878538,2.281058e-2,3406.1
24,1200,27554,0.601383,0.594885,1.880477,3.183687e-2,3513.7
25,1250,27554,0.602184,0.595304,1.879003,2.950219e-2,3622.8
26,1300,27554,0.600433,0.595274,1.877678,2.657256e-2,3731.7
27,1350,27554,0.601250,0.595591,1.877426,2.241018e-2,3842.7
28,1400,27554,0.601389,0.595587,1.877437,2.765773e-2,3952.2
29,1450,27554,0.602042,0.594947,1.879234,2.394488e-2,4057.3
30,1500,27554,0.602295,0.595347,1.878270,2.537206e-2,4160.4
31,1550,27554,0.601818,0.595041,1.879386,2.435810e-2,4265.8
32,1600,27554,0.602910,0.595711,1.876526,3.360334e-2,4369.5
33,1650,27554,0.603122,0.596143,1.875912,2.445096e-2,4470.7
34,1700,27554,0.600742,0.595998,1.876890,1.952674e-2,4566.1
35,1750,27554,0.601074,0.595762,1.878305,2.545613e-2,4662.9
36,1800,27554,0.601317,0.595765,1.877848,2.720352e-2,4763.6
37,1850,27554,0.601676,0.595668,1.877856,2.732523e-2,4862.4
38,1900,27554,0.602716,0.595836,1.876952,2.765600e-2,4956.4
39,1950,27554,0.599560,0.595587,1.877663,2.520143e-2,5052.0
40,2000,27554,0.602224,0.595965,1.876249,2.492866e-2,5146.7
