step,x1,y1,z1,vx1,vy1,vz1,omegax1,omegay1,omegaz1
0,0,0,0.10000000000000001,0,0,0,0,0,0
200,0,0,0.099999803800000703,0,0,-0.0019619999999999881,0,0,0
400,0,0,0.099999215200000019,0,0,-0.0039239999999999605,0,0,0
600,0,0,0.099998234200000702,0,0,-0.0058860000000001047,0,0,0
800,0,0,0.099996860800000031,0,0,-0.0078480000000002419,0,0,0
1000,0,0,0.0999950950000007,0,0,-0.0098100000000000392,0,0,0
1200,0,0,0.099992936800000043,0,0,-0.011771999999999836,0,0,0
1400,0,0,0.099990386200000697,0,0,-0.013733999999999634,0,0,0
1600,0,0,0.099987443200000053,0,0,-0.015695999999999433,0,0,0
1800,0,0,0.099984107800000693,0,0,-0.01765799999999923,0,0,0
2000,0,0,0.099980380000000063,0,0,-0.019619999999999027,0,0,0
2200,0,0,0.099976259800000689,0,0,-0.021581999999998824,0,0,0
2400,0,0,0.099971747200000072,0,0,-0.023543999999998622,0,0,0
2600,0,0,0.099966842200000683,0,0,-0.025505999999998419,0,0,0
2800,0,0,0.099961544800000079,0,0,-0.027467999999998216,0,0,0
3000,0,0,0.099955855000000676,0,0,-0.029429999999998013,0,0,0
3200,0,0,0.099949772800000086,0,0,-0.031391999999997811,0,0,0
3400,0,0,0.099943298200000683,0,0,-0.033353999999997608,0,0,0
3600,0,0,0.099936431200000106,0,0,-0.035315999999997405,0,0,0
3800,0,0,0.099929171800000688,0,0,-0.037277999999997202,0,0,0
4000,0,0,0.099921520000000125,0,0,-0.039239999999997,0,0,0
4200,0,0,0.099913475800000692,0,0,-0.041201999999996797,0,0,0
4400,0,0,0.099905039200000142,0,0,-0.043163999999996594,0,0,0
4600,0,0,0.099896210200000696,0,0,-0.045125999999996391,0,0,0
4800,0,0,0.099886988800000159,0,0,-0.047087999999996188,0,0,0
5000,0,0,0.099877375000000698,0,0,-0.049049999999995986,0,0,0
5200,0,0,0.099867368800000175,0,0,-0.051011999999995783,0,0,0
5400,0,0,0.0998569702000007,0,0,-0.05297399999999558,0,0,0
5600,0,0,0.09984617920000019,0,0,-0.054935999999995377,0,0,0
5800,0,0,0.0998349958000007,0,0,-0.056897999999995175,0,0,0
6000,0,0,0.099823420000000204,0,0,-0.058859999999994972,0,0,0
6200,0,0,0.0998114518000007,0,0,-0.060821999999994769,0,0,0
6400,0,0,0.099799091200000217,0,0,-0.062783999999994566,0,0,0
6600,0,0,0.099786338200000699,0,0,-0.064745999999994364,0,0,0
6800,0,0,0.099773192800000229,0,0,-0.066707999999994161,0,0,0
7000,0,0,0.099759655000000697,0,0,-0.068669999999993958,0,0,0
7200,0,0,0.099745724800000241,0,0,-0.070631999999993755,0,0,0
7400,0,0,0.099731402200000693,0,0,-0.072593999999993553,0,0,0
7600,0,0,0.099716687200000251,0,0,-0.07455599999999335,0,0,0
7800,0,0,0.099701579800000689,0,0,-0.076517999999993147,0,0,0
8000,0,0,0.09968608000000026,0,0,-0.078479999999992944,0,0,0
8200,0,0,0.099670187800000684,0,0,-0.080441999999992742,0,0,0
8400,0,0,0.099653903200000268,0,0,-0.082403999999992539,0,0,0
8600,0,0,0.099637226200000678,0,0,-0.084365999999992336,0,0,0
