phase,step,phi_bulk,phi_whole_core,surface_height,core_ke_per_pebble_over_edrop,all_ke_per_pebble_over_edrop
presettle,500,0.571847,0.569811,2.149173,7.930995e-2,7.930995e-2
presettle,1000,0.570079,0.570362,2.146942,2.223507e-1,2.225060e-1
presettle,1500,0.568424,0.565911,2.141835,4.481309e-1,4.592863e-1
presettle,2000,0.567214,0.563152,2.133706,7.698490e-1,7.896060e-1
presettle,2500,0.566235,0.564258,2.122353,1.178834e0,1.203725e0
presettle,3000,0.565560,0.563231,2.108234,1.650053e0,1.688531e0
presettle,3500,0.565685,0.563348,2.091149,2.179460e0,2.232533e0
presettle,4000,0.566318,0.563798,2.071033,2.742995e0,2.804818e0
presettle,4500,0.568096,0.565286,2.047971,3.264824e0,3.345438e0
presettle,5000,0.570917,0.568476,2.021935,3.694033e0,3.798553e0
presettle,5500,0.575282,0.572646,1.992622,3.852131e0,3.990774e0
presettle,6000,0.581517,0.578533,1.960359,3.499915e0,3.600996e0
presettle,6500,0.590366,0.586787,1.925286,2.144576e0,2.228057e0
presettle,7000,0.596266,0.592494,1.902315,2.187520e-1,4.337407e-1
presettle,7500,0.594649,0.590700,1.904407,1.674502e-1,3.483565e-1
presettle,8000,0.591096,0.587107,1.913790,2.219448e-1,3.079605e-1
presettle,8500,0.588027,0.584327,1.921679,9.862924e-2,1.469564e-1
presettle,9000,0.585568,0.582146,1.927046,4.995075e-2,7.967833e-2
presettle,9500,0.584085,0.580726,1.929998,6.193833e-2,7.953894e-2
presettle,10000,0.583825,0.580221,1.930068,1.117876e-1,1.137609e-1
presettle,10500,0.584713,0.580909,1.927017,1.775392e-1,1.674745e-1
presettle,11000,0.586747,0.582582,1.920949,2.375860e-1,2.197074e-1
presettle,11500,0.589912,0.584970,1.912499,2.576486e-1,2.363523e-1
presettle,12000,0.594151,0.588418,1.900991,1.993961e-1,1.825292e-1
presettle,12500,0.598027,0.592756,1.886855,5.637302e-2,5.173520e-2
presettle,13000,0.598678,0.593945,1.883001,9.441840e-3,8.737437e-3
presettle,13500,0.598180,0.593898,1.883226,1.856429e-2,1.703084e-2
presettle,14000,0.597557,0.593244,1.885378,8.445539e-3,7.757276e-3
presettle,14500,0.597371,0.593286,1.885470,1.005023e-3,9.401120e-4
presettle,15000,0.597741,0.593698,1.884009,6.291494e-3,5.761644e-3
presettle,15500,0.598381,0.594317,1.881900,7.021618e-3,6.425196e-3
presettle,16000,0.598758,0.594759,1.880499,1.045358e-3,9.600883e-4
presettle,16500,0.598731,0.594776,1.880446,1.254272e-3,1.149096e-3
presettle,17000,0.598500,0.594594,1.881023,9.456338e-4,8.654157e-4
presettle,17500,0.598425,0.594588,1.881040,1.838031e-4,1.691261e-4
presettle,18000,0.598566,0.594720,1.880622,5.951578e-4,5.447970e-4
