phase,step,phi_bulk,phi_whole_core,surface_height,core_ke_per_pebble_over_edrop,all_ke_per_pebble_over_edrop
presettle,500,0.571671,0.569784,2.149276,8.644659e-2,8.644659e-2
presettle,1000,0.569205,0.569860,2.148754,2.279532e-1,2.281682e-1
presettle,1500,0.566711,0.564062,2.146179,4.399556e-1,4.525239e-1
presettle,2000,0.564661,0.561196,2.140586,7.423908e-1,7.642603e-1
presettle,2500,0.562894,0.561392,2.131765,1.127327e0,1.155914e0
presettle,3000,0.561493,0.559151,2.120118,1.562928e0,1.610321e0
presettle,3500,0.560855,0.559085,2.105824,2.041136e0,2.107415e0
presettle,4000,0.560846,0.558352,2.088128,2.507925e0,2.595537e0
presettle,4500,0.562063,0.559864,2.067407,2.859381e0,2.976816e0
presettle,5000,0.564412,0.561760,2.043814,3.020641e0,3.174921e0
presettle,5500,0.568609,0.565523,2.017091,2.876049e0,3.043175e0
presettle,6000,0.574809,0.571405,1.987303,2.216198e0,2.338743e0
presettle,6500,0.583381,0.579200,1.954725,9.694145e-1,1.086748e0
presettle,7000,0.585114,0.581408,1.944017,6.442993e-2,2.407482e-1
presettle,7500,0.582915,0.579146,1.948999,1.377401e-1,2.683172e-1
presettle,8000,0.580686,0.576928,1.955414,9.035316e-2,1.614896e-1
presettle,8500,0.578776,0.575180,1.959581,3.532856e-2,8.339078e-2
presettle,9000,0.577526,0.573961,1.961340,5.685259e-2,8.983730e-2
presettle,9500,0.577393,0.573926,1.960298,1.216020e-1,1.366782e-1
presettle,10000,0.578392,0.574743,1.955966,2.051321e-1,2.069329e-1
presettle,10500,0.580466,0.576500,1.948618,2.708338e-1,2.589226e-1
presettle,11000,0.583613,0.578986,1.938715,2.606322e-1,2.448137e-1
presettle,11500,0.587479,0.582621,1.925626,1.231173e-1,1.162719e-1
presettle,12000,0.588708,0.584155,1.919885,9.666507e-3,1.062309e-2
presettle,12500,0.588208,0.584080,1.920132,2.488604e-2,2.381326e-2
presettle,13000,0.587431,0.583316,1.922725,1.801010e-2,1.725233e-2
presettle,13500,0.586901,0.582861,1.924073,2.810631e-3,2.984319e-3
presettle,14000,0.587042,0.582977,1.923460,6.166248e-3,5.837002e-3
presettle,14500,0.587825,0.583724,1.920999,1.665992e-2,1.534837e-2
presettle,15000,0.588597,0.584463,1.918569,9.572165e-3,8.838029e-3
presettle,15500,0.588875,0.584825,1.917230,5.354253e-4,5.292924e-4
presettle,16000,0.588749,0.584751,1.917551,2.991437e-3,2.773252e-3
presettle,16500,0.588452,0.584445,1.918554,1.289557e-3,1.203328e-3
presettle,17000,0.588398,0.584458,1.918511,4.097375e-4,3.905829e-4
presettle,17500,0.588606,0.584674,1.917802,1.266880e-3,1.170979e-3
presettle,18000,0.588749,0.584808,1.917363,1.666412e-4,1.604487e-4
