step,sim_time_s,reactor_power_mw,prompt_power_mw,delayed_power_mw,fuel_temperature_k,bed_temperature_k
750,75.100000000,7.173749745,7.144909484,0.028840261,892.957138252,892.280102364
775,77.600000000,9.024959754,8.988702460,0.036257294,892.947259416,892.136351613
800,80.100000000,11.255257820,11.209841582,0.045416239,893.506128913,892.527079010
825,82.600000000,13.834650008,13.778244576,0.056405432,894.735567435,893.547425340
850,85.100000000,16.660979358,16.591888936,0.069090422,896.719028681,895.274968964
875,87.600000000,19.553853876,19.470819588,0.083034288,899.500076432,897.749549873
900,90.100000000,22.278285087,22.180794725,0.097490362,903.063127626,900.955361582
925,92.600000000,24.597441119,24.485936034,0.111505085,907.325155344,904.813444224
950,95.100000000,26.333019911,26.208908086,0.124111825,912.143901278,909.189665856
975,97.600000000,27.403765163,27.269227816,0.134537347,917.340514184,913.916098226
1000,100.100000000,27.827179719,27.684845089,0.142334631,922.727875286,918.817538141
1025,102.600000000,27.692350663,27.544945913,0.147404750,928.134958653,923.734182419
1050,105.100000000,27.123192037,26.973262035,0.149930002,933.421769453,928.535442594
1075,107.600000000,26.247654996,26.097386679,0.150268317,938.484546779,933.124678240
1100,110.100000000,25.178903545,25.030051469,0.148852075,943.253952652,937.437421406
1125,112.600000000,24.007393164,23.861279797,0.146113367,947.689563585,941.436188717
1150,115.100000000,22.800147547,22.657707968,0.142439579,951.773228228,945.104262334
1175,117.600000000,21.603699902,21.465546270,0.138153632,955.502800779,948.439836705
1200,120.100000000,20.448295116,20.314784531,0.133510584,958.886919432,951.451147347
1225,122.600000000,19.352038286,19.223334966,0.128703320,961.940982005,954.152718994
1250,125.100000000,18.324421459,18.200549275,0.123872184,964.684213087,956.562632359
1275,127.600000000,17.369081916,17.249966471,0.119115445,967.137621536,958.700621043
1300,130.100000000,16.485845608,16.371346654,0.114498954,969.322636898,960.586801192
1325,132.600000000,15.672182628,15.562118286,0.110064342,971.260240231,962.240861851
1350,135.100000000,14.924211621,14.818376027,0.105835594,972.970442503,963.681579209
1375,137.600000000,14.237373389,14.135549238,0.101824151,974.472000227,964.926551919
1400,140.100000000,13.606869492,13.508836730,0.098032762,975.782288457,965.992083084
1425,142.600000000,13.027937941,12.933479622,0.094458319,976.917274926,966.893156539
1450,145.100000000,12.496018307,12.404924373,0.091093934,977.891556672,967.643471379
1475,147.600000000,12.006843162,11.918912751,0.087930410,978.718433026,968.255510417
1500,150.100000000,11.556481481,11.471524191,0.084957290,979.409997732,968.740626463
1525,152.600000000,11.141351463,11.059187893,0.082163570,979.977238988,969.109136006
1550,155.100000000,10.758214534,10.678676336,0.079538198,980.430140404,969.370413732
1575,157.600000000,10.404158333,10.327087950,0.077070383,980.777778593,969.532983897
1600,160.100000000,10.076573813,10.001824008,0.074749806,981.028414984,969.604606303
1625,162.600000000,9.773129734,9.700562999,0.072566735,981.189580640,969.592355720
1650,165.100000000,9.491746626,9.421234542,0.070512084,981.268153459,969.502694166
1675,167.600000000,9.230571571,9.161994138,0.068577433,981.270426517,969.341534812
1700,170.100000000,8.987954317,8.921199292,0.066755025,981.202171818,969.114301859
1725,172.600000000,8.762425134,8.697387398,0.065037736,981.068697746,968.825984393
1750,175.100000000,8.552674731,8.489255681,0.063419050,980.874899019,968.481183193
1775,177.600000000,8.357536158,8.295643147,0.061893011,980.625301050,968.084152309
1800,180.100000000,8.175968627,8.115514441,0.060454186,980.324099328,967.638835962
1825,182.600000000,8.007043120,7.947945498,0.059097622,979.975194338,967.148901287
1850,185.100000000,7.849929644,7.792110843,0.057818802,979.582222526,966.617767360
1875,187.600000000,7.703885982,7.647272371,0.056613612,979.148583766,966.048630953
1900,190.100000000,7.568247770,7.512769472,0.055478298,978.677465731,965.444489391
1925,192.600000000,7.442419778,7.388010338,0.054409440,978.171865542,964.808160852
1950,195.100000000,7.325868239,7.272464327,0.053403912,977.634609012,964.142302421
1975,197.600000000,7.218114110,7.165655246,0.052458863,977.068367781,963.449426167
2000,200.100000000,7.118727143,7.067155457,0.051571686,976.475674589,962.731913463
2025,202.600000000,7.027320676,6.976580679,0.050739997,975.858936910,961.992027790
2050,205.100000000,6.943547035,6.893585420,0.049961615,975.220449145,961.231926170
